61,Classy Chair 1089,https://www.archiproducts.com/en/products/et-al/swivel-height-adjustable-polypropylene-office-chair-classy-1089_533902,FOO,355,58,61,89,Chair
62,Moroso Lounge Chair,https://clippings.com/products/take-a-line-for-a-walk-chaise-lounge-1224121?selection=Base%20Finish%3ASteel%21Upholstery%3AStamskin%20Top%204340-07478%20-%20Q&variation=74962691,FOO,4115,149,90,90,Char
63,Erica Outdoor Armchair,https://www.longhoshop.com/en/outdoor-sofas-and-armchairs/3578-bb-italia-poltrona-erica.html?SubmitCurrency=1&id_currency=3&utm_campaign=google_dinamica&utm_source=google&utm_medium=cpc&countryselect=US&gclid=CjwKCAiAgeeqBhBAEiwAoDDhn_7zBPKkVM8xYYSDe6LbaGCKdpH5gRTrgX2TDq9kr-fNc13H1elwpRoChOUQAvD_BwE,FOO,2753,86,90,65.5,Chair
64,Libra Chair,https://www.bauhaus2yourhouse.com/products/libra-armchair-by-tonon,FOO,1774,61,60,81,Chair
65,Plan Armchair,https://www.miliashop.com/en/chair/20748-plan-internoitaliano-chair-with-armrests.html,FOO,786,54.5,55,86,Char
66,Flint 535A,https://www.archiproducts.com/en/products/et-al/garden-chair-with-armrests-flint-535-am_331343,FOO,388,50,55,74,Chair
67,Flint 535B,https://www.valitalia.com/us/en_us/et-al-flint-535-b.html,FOO,442,53,53,81,Chair
68,Pacific Armchair,https://hivemodern.com/pages/product15646/pacific-armchair-patricia-urquiola-moroso?gclid=CjwKCAiAgeeqBhBAEiwAoDDhn5YJ1JSlEu8hN6iywsuZCXoyIA61d189JGDqwRLmFUbsUK6Ziui0ghoCwvgQAvD_BwE,FOO,3155,92,100,73,Char
69,Neil Twist Armchair,https://www.longhoshop.com/en/outdoor-sofas-and-armchairs/13843-mdf-italia-neil-twist-armchair-with-armrests.html?SubmitCurrency=1&id_currency=3&utm_campaign=google_dinamica&utm_source=google&utm_medium=cpc&countryselect=US&gclid=CjwKCAiAgeeqBhBAEiwAoDDhn02FkuXdHD_g089gu6zbQYN1mZEIh-uM8hdguNW23CezCTXCVuifJhoCPtEQAvD_BwE,FOO,2678,66,79.6,71,Chair
70,Neil Leather Chair,https://www.monologuelondon.com/products/neil-chair,FOO,1650,58,50,80,Chair
71,Neil Textile Chair,https://www.archiproducts.com/en/products/mdf-italia/sled-base-fabric-chair-neil-textile-chair_520396,FOO,1435,58,50,80,Chair
