FUR_ID,FUR_NAME,FUR_LINK,FUR_DESC,FUR_COST,FUR_DIM_L,FUR_DIM_W,FUR_DIM_H,FUR_TYPE
1,Allak Swivel Chair,https://www.carousell.sg/p/ikea-allak-swivel-chair-212252846/,Black plastic chair,15,47,40,79,Chair
2,Jules Swivel Chair,https://www.remodelista.com/products/jules-junior-desk-chair/,n/a,40,53,62,140,Chair
3,Henriksdal Chair,https://www.ikea.com/es/en/p/henriksdal-chair-dark-brown-dansbo-dark-grey-s29220308/,Black cotton and wood chair,62,58,51,97,Chair
4,Markus Swivel Chair,https://www.ikea.com/us/en/p/markus-office-chair-vissle-dark-gray-90289172/,Black office swivel chair,290,53,62,140,Chair
5,Ivar Chair,https://www.ikea.com/us/en/p/ivar-chair-pine-90263902/,Wood pine chair,40,49,41,96,Chair
6,Emmabo Rocking Chair,https://offerup.com/item/detail/12768905,Plastic blue rocking chair,40,94,59,70,Chair
7,Norraker Chair,https://www.remodelista.com/products/norraker-chair/,Wood birch chair,59,49,41,79,Chair
8,Poang Armchair,https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-hillared-dark-blue-s99305926/,Cushioned blue and wood arm chair,189,82,68,101,Chair
9,Tullsta Armchair,https://www.ikea.com/us/en/p/tullsta-armchair-lofallet-beige-s89272714/,Sofa style suede cushioned arm chair,270,69,79,77,Chair
10,Skruvsta Swivel Chair,https://www.ikea.pr/puertorico/en/pd/skruvsta-swivel-chair-white-art-90403002,Swivel suede white rolling chair,229,69,69,89,Chair
11,Tylosand 3 Seat Sofa Bed,"https://www.comfortly.com/products/tylosand-3-seat-ikea-sofa-bed-cover?variant=43699494519024&currency=USD&gad=1&gclid=Cj0KCQjwhL6pBhDjARIsAGx8D5-7Q75mCNP1M55ZGTk7b1iT4EOZyQEbqFIVM0IRin5Hiu2jHCi6-cgaAl59EALw_wcB
",FOO,429,89,240,52,Sofa
12,Ekekog 3 Seat Sofa,https://bemz.com/en-us/products/EKE1-C-CTW103?gclid=Cj0KCQjwhL6pBhDjARIsAGx8D59VIVeOAdCsrlhIvRPeRZLiYSHsSwA_GG-FaRMf292TaFiHnmbhkP8aAomhEALw_wcB,FOO,479,106,236,95,Sofa
